"license","Licensee Information","Business Name:","License Number:","In Business:","Location Address:","City/Town:","State:","Telephone Number:","Trade Name","Address","Town","County","License #","Permissions","Expiration Date","On or Off","latitude","longitude","accuracy","marker-size","marker-color","marker-symbol"
"1040",NA,"HANNAFORD #8384","1040","Yes","5 HANNAFORD DRIVE","YORK","ME","207-363-5357","HANNAFORD #8384","5 HANNAFORD DRIVE","YORK","YORK","1040","M-V","10/27/2015","OFF",43.1507202,-70.6724395,"street_address","small","#4f4","alcohol-shop"
"1044",NA,"SAWYER'S VARIETY STORE","1044","Yes","833 GRAY ROAD","GORHAM","ME","892-8706","SAWYER'S VARIETY STORE","833 GRAY ROAD","GORHAM","CUMBERLAND","1044","M-V","03/15/2015","OFF",43.732778,-70.425216,"street_address","small","#4f4","alcohol-shop"
"1047",NA,"AMATO'S","1047","Yes","3 MAIN STREET","GORHAM","ME","839-2511","AMATO'S","3 MAIN STREET","GORHAM","CUMBERLAND","1047","M-V","12/31/2014","OFF",43.6796708,-70.4427509,"street_address","small","#4f4","alcohol-shop"
"1049",NA,"8 CORNERS PIZZA, INC.","1049","Yes","49 MUSSEY ROAD","SCARBOROUGH","ME","883-3536","8 CORNERS PIZZA, INC.","49 MUSSEY ROAD","SCARBOROUGH","CUMBERLAND","1049","V-M","04/24/2015","OFF",43.618618,-70.345222,"street_address","small","#4f4","alcohol-shop"
"1050",NA,"CAPITAL MARKET","1050","Yes","17 WEST GRAND AVENUE","OLD ORCHARD BEACH","ME","934-9368","CAPITAL MARKET","17 WEST GRAND AVENUE","OLD ORCHARD BEACH","YORK","1050","M-V","05/03/2015","OFF",43.5153941,-70.3747166,"street_address","small","#4f4","alcohol-shop"
"1051",NA,"CVS PHARMACY #454","1051","Yes","510 CONGRESS STREET","PORTLAND","ME","207-774-4525","CVS PHARMACY #454","510 CONGRESS STREET","PORTLAND","CUMBERLAND","1051","M-V","06/27/2015","OFF",43.655885,-70.260373,"street_address","small","#4f4","alcohol-shop"
"1053",NA,"CRICKETS CORNER","1053","Yes","1223 ROOSEVELT TRAIL","RAYMOND","ME","655-4544","CRICKETS CORNER","1223 ROOSEVELT TRAIL","RAYMOND","CUMBERLAND","1053","V","03/01/2015","OFF",43.87926,-70.464932,"street_address","small","#4f4","alcohol-shop"
"1058",NA,"KENNEBUNK XTRA MART","1058","Yes","88 MAIN STREET","KENNEBUNK","ME","985-3259","KENNEBUNK XTRA MART","88 MAIN STREET","KENNEBUNK","YORK","1058","M-V","02/01/2015","OFF",43.3869622,-70.5387807,"street_address","small","#4f4","alcohol-shop"
"1062",NA,"WINE & CHEESE SHOP, THE","1062","Yes","259 POST ROAD","MOODY","ME","646-9959","WINE & CHEESE SHOP, THE","259 POST ROAD","MOODY","YORK","1062","V-M","12/14/2014","OFF",43.2828557,-70.5946099,"street_address","small","#4f4","alcohol-shop"
"1063",NA,"SLEEPER'S","1063","Yes","45A LEBANON STREET","SANFORD","ME","324-7371","SLEEPER'S","45A LEBANON STREET","SANFORD","YORK","1063","V-M","07/05/2015","OFF",43.4402003,-70.7820703,"street_address","small","#4f4","alcohol-shop"
"1067",NA,"AIRPORT VARIETY","1067","Yes","1829 MAIN STREET","SANFORD","ME","324-8815","AIRPORT VARIETY","1829 MAIN STREET","SANFORD","YORK","1067","M-V","02/07/2015","OFF",43.4024239,-70.7103729,"street_address","small","#4f4","alcohol-shop"
"1074",NA,"CIRCLE K #7062","1074","Yes","162 HAROLD L. DOW HWY","ELIOT","ME","207-439-0945","CIRCLE K #7062","162 HAROLD L. DOW HWY","ELIOT","YORK","1074","V-M","07/15/2015","OFF",43.1472599,-70.7918936,"route","small","#4f4","alcohol-shop"
"1076",NA,"YORK BEACH GROCERY AND DELI","1076","Yes","9 OCEAN AVENUE","YORK BEACH","ME","207-363-9195","YORK BEACH GROCERY AND DELI","9 OCEAN AVENUE","YORK BEACH","YORK","1076","M-V","05/14/2015","OFF",43.5073211,-70.3810335,"street_address","small","#4f4","alcohol-shop"
"1081",NA,"WAL-MART SUPERCENTER #3269","1081","Yes","258 RIVER ROAD","MEXICO","ME","207-364-2557","WAL-MART SUPERCENTER #3269","258 RIVER ROAD","MEXICO","OXFORD","1081","M-V","06/16/2015","OFF",44.5384733,-70.5168362,"street_address","small","#4f4","alcohol-shop"
"1086",NA,"LODGE ON THE COVE, THE","1086","Yes","29 SOUTH MAIN STREET","KENNEBUNKPORT","ME","207-967-3993","LODGE ON THE COVE, THE","29 SOUTH MAIN STREET","KENNEBUNKPORT","YORK","1086","V-M","08/03/2015","OFF",43.3531766,-70.4696948,"street_address","small","#4f4","alcohol-shop"
"109",NA,"SALTY ACRES CAMPGROUND","109","Yes","277 MILLS ROAD - ROUTE 9","KENNEBUNKPORT","ME","967-2483","SALTY ACRES CAMPGROUND","277 MILLS ROAD - ROUTE 9","KENNEBUNKPORT","YORK","109","M-V","06/30/2015","OFF",43.3899673,-70.4442203,"route","small","#4f4","alcohol-shop"
"1099",NA,"CIGARETTE CITY #2","1099","Yes","44 RIVER STREET","SANFORD","ME","324-5089","CIGARETTE CITY #2","44 RIVER STREET","SANFORD","YORK","1099","V-M","07/22/2015","OFF",43.445041,-70.7750694,"street_address","small","#4f4","alcohol-shop"
"1101",NA,"VERANDA ASIAN MARKET, LLC","1101","Yes","695 FOREST AVENUE","PORTLAND","ME","207-874-8001","VERANDA ASIAN MARKET, LLC","695 FOREST AVENUE","PORTLAND","CUMBERLAND","1101","V-M","12/06/2014","OFF",43.6717061,-70.2846169,"street_address","small","#4f4","alcohol-shop"
"1102",NA,"CANTON VARIETY, LLC","1102","Yes","17 MAIN STREET","CANTON","ME","597-2828","CANTON VARIETY","17 MAIN STREET","CANTON","OXFORD","1102","V-M","11/08/2014","OFF",44.4401813,-70.3161152,"street_address","small","#4f4","alcohol-shop"
"1105",NA,"LIL' GENERAL STORE","1105","Yes","8 COUNTRY CLUB ROAD","SANFORD","ME","207-409-3752","LIL' GENERAL STORE","8 COUNTRY CLUB ROAD","SANFORD","YORK","1105","M-V","08/26/2015","OFF",43.4103418,-70.742493,"street_address","small","#4f4","alcohol-shop"
"1106",NA,"SMAHA'S LEGION SQUARE MARKET","1106","Yes","101 OCEAN STREET","SOUTH PORTLAND","ME","207-799-3374","SMAHA'S LEGION SQUARE MARKET","101 OCEAN STREET","SOUTH PORTLAND","CUMBERLAND","1106","M-V","08/01/2015","OFF",43.6386702,-70.2532029,"street_address","small","#4f4","alcohol-shop"
"1107",NA,"NINA'S VARIETY","1107","Yes","125 BUCKNAM ROAD        * * * TEMP THRU 1/30/2015 * * *","FALMOUTH","ME","207-781-9906","NINA'S VARIETY","125 BUCKNAM ROAD	      * * * TEMP THRU 1/30/2015
* * *","FALMOUTH","CUMBERLAND","1107","V-M","10/25/2014","OFF",43.729444,-70.241944,"locality","small","#4f4","alcohol-shop"
"1115",NA,"SUN TRS WILD ACRES, LLC","1115","Yes","179 SACO AVENUE","OLD ORCHARD BEACH","ME","207-934-2535","SUN TRS WILD ACRES, LLC","179 SACO AVENUE","OLD ORCHARD BEACH","YORK","1115","V-M","06/04/2015","OFF",43.5093994,-70.396755,"street_address","small","#4f4","alcohol-shop"
"1119",NA,"ZAHARES MARKET","1119","Yes","8 HEATH STREET","OLD ORCHARD BEACH","ME","207-937-8124","ZAHARES MARKET","8 HEATH STREET","OLD ORCHARD BEACH","YORK","1119","V-M","07/23/2015","OFF",43.514698,-70.378577,"street_address","small","#4f4","alcohol-shop"
"112",NA,"DIMILLO'S OLD PORT MARINA","112","Yes","1  LONG WHARF","PORTLAND","ME","207-773-7632","DIMILLO'S OLD PORT MARINA","1  LONG WHARF","PORTLAND","CUMBERLAND","112","V-M","04/08/2015","OFF",43.6559105,-70.2525082,"street_address","small","#4f4","alcohol-shop"
"1129",NA,"BEACHCOMBER, THE","1129","Yes","388 MILE ROAD","WELLS","ME","646-7726","BEACHCOMBER, THE","388 MILE ROAD","WELLS","YORK","1129","V-M","04/30/2015","OFF",43.3028437,-70.567116,"street_address","small","#4f4","alcohol-shop"
"1133",NA,"PATCH'S, INC.","1133","Yes","965 CHADBOURNE ROAD","STANDISH","ME","892-6365","PATCH'S, INC.","965 CHADBOURNE ROAD","STANDISH","CUMBERLAND","1133","M-V","02/28/2015","OFF",43.8124327,-70.4658845,"street_address","small","#4f4","alcohol-shop"
"1134",NA,"FOOD CITY","1134","Yes","295 MAIN STREET","BRIDGTON","ME","647-2766","FOOD CITY","295 MAIN STREET","BRIDGTON","CUMBERLAND","1134","V-M","07/05/2015","OFF",44.053782,-70.7002745,"street_address","small","#4f4","alcohol-shop"
"1136",NA,"FERNLEAF BAKERY AND COFFEE HOUSE","1136","Yes","20 FREE STREET","SACO","ME","207-286-3376","FERNLEAF BAKERY AND COFFEE HOUSE","20 FREE STREET","SACO","YORK","1136","M-V","06/11/2015","OFF",43.4973898,-70.4450246,"street_address","small","#4f4","alcohol-shop"
"1138",NA,"PAPOOSE POND RESORT","1138","Yes","700 NORWAY ROAD","NORTH WATERFORD","ME","583-4174","PAPOOSE POND RESORT","700 NORWAY ROAD","NORTH WATERFORD","OXFORD","1138","V-M","05/09/2015","OFF",44.2294842,-70.7074752,"street_address","small","#4f4","alcohol-shop"
"1139",NA,"LIL'  MART  NORTH WINDHAM","1139","Yes","746 ROOSEVELT TRAIL","NORTH WINDHAM","ME","207-892-7290","LIL'  MART  NORTH WINDHAM","746 ROOSEVELT TRAIL","NORTH WINDHAM","CUMBERLAND","1139","V-M","12/10/2015","OFF",43.8343321,-70.4389057,"street_address","small","#4f4","alcohol-shop"
"1140",NA,"SHORT STOP","1140","Yes","413 HALLOWELL ROAD","POWNAL","ME","688-4111","SHORT STOP","413 HALLOWELL ROAD","POWNAL","CUMBERLAND","1140","M-V","02/02/2015","OFF",43.8926717,-70.1841474,"street_address","small","#4f4","alcohol-shop"
"1141",NA,"MICUCCI GROCERY COMPANY, INC.","1141","Yes","45 INDIA STREET","PORTLAND","ME","775-1854","MICUCCI GROCERY COMPANY, INC.","45 INDIA STREET","PORTLAND","CUMBERLAND","1141","V","12/18/2014","OFF",43.6603283,-70.2498851,"street_address","small","#4f4","alcohol-shop"
"115",NA,"TEN TEN PIE","115","Yes","171 CUMBERLAND AVENUE","PORTLAND","ME","807-2681","TEN TEN PIE","171 CUMBERLAND AVENUE","PORTLAND","CUMBERLAND","115","M-V","08/18/2015","OFF",43.662547,-70.254385,"street_address","small","#4f4","alcohol-shop"
"1150",NA,"BOW STREET MARKET, INC.","1150","Yes","79 BOW STREET","FREEPORT","ME","865-6631","BOW STREET MARKET, INC.","79 BOW STREET","FREEPORT","CUMBERLAND","1150","V-M","08/12/2015","OFF",43.8567271,-70.0960124,"street_address","small","#4f4","alcohol-shop"
"1151",NA,"LA BODEGA LATINA GROCERY PORTLAND, LLC","1151","Yes","863 CONGRESS STREET","PORTLAND","ME","207-761-6661","LA BODEGA LATINA GROCERY PORTLAND, LLC","863 CONGRESS STREET","PORTLAND","CUMBERLAND","1151","M-V","10/10/2015","OFF",43.6547945,-70.2755816,"street_address","small","#4f4","alcohol-shop"
"1153",NA,"LIGHTHOUSE VARIETY & DELI, THE","1153","Yes","51 HARPSWELL ROAD","BRUNSWICK","ME","207-729-2999","LIGHTHOUSE VARIETY & DELI, THE","51 HARPSWELL ROAD","BRUNSWICK","CUMBERLAND","1153","M-V","09/15/2015","OFF",43.9075619,-69.9584943,"street_address","small","#4f4","alcohol-shop"
"1155",NA,"CENTER LOVELL MARKET II","1155","Yes","1007 MAIN STREET","LOVELL","ME","207-925-1051","CENTER LOVELL MARKET II","1007 MAIN STREET","LOVELL","OXFORD","1155","V-M","01/26/2015","OFF",44.175343,-70.893308,"street_address","small","#4f4","alcohol-shop"
"1156",NA,"ADAMS VARIETY","1156","Yes","1144 US ROUTE 2  W","DIXFIELD","ME","207-562-2000","ADAMS VARIETY","1144 US ROUTE 2  W","DIXFIELD","OXFORD","1156","M","02/14/2015","OFF",44.5313873,-70.4591478,"street_address","small","#4f4","alcohol-shop"
"1156",NA,"ADAMS VARIETY","1156","Yes","1144 US ROUTE 2  W","DIXFIELD","ME","207-562-2000","ADAMS VARIETY","1144 US ROUTE 2  W","DIXFIELD","OXFORD","1156","V","05/13/2015","OFF",44.5313873,-70.4591478,"street_address","small","#4f4","alcohol-shop"
"1156",NA,"ADAMS VARIETY","1156","Yes","1144 US ROUTE 2  W","DIXFIELD","ME","207-562-2000","ADAMS VARIETY","1144 US ROUTE 2  W","DIXFIELD","OXFORD","1156","M","02/14/2015","OFF",44.5313873,-70.4591478,"street_address","small","#4f4","alcohol-shop"
"1156",NA,"ADAMS VARIETY","1156","Yes","1144 US ROUTE 2  W","DIXFIELD","ME","207-562-2000","ADAMS VARIETY","1144 US ROUTE 2  W","DIXFIELD","OXFORD","1156","V","05/13/2015","OFF",44.5313873,-70.4591478,"street_address","small","#4f4","alcohol-shop"
"1162",NA,"CASCO VILLAGE VARIETY","1162","Yes","978 MEADOW ROAD","CASCO","ME","508-864-8275","CASCO VILLAGE VARIETY","978 MEADOW ROAD","CASCO","CUMBERLAND","1162","M-V","06/30/2015","OFF",44.007134,-70.523077,"street_address","small","#4f4","alcohol-shop"
"1163",NA,"TOWN LINE DELI","1163","Yes","134 MAIN STREET  A","WATERBORO","ME","247-1031","TOWN LINE DELI","134 MAIN STREET  A","WATERBORO","YORK","1163","M","09/12/2015","OFF",43.485594,-70.7189842,"street_address","small","#4f4","alcohol-shop"
"1169",NA,"SHEILA'S COUNTRY STORE","1169","Yes","178 EAST GRAND","OLD ORCHARD BEACH","ME","934-3569","SHEILA'S COUNTRY STORE","178 EAST GRAND","OLD ORCHARD BEACH","YORK","1169","M-V","05/13/2015","OFF",43.527723,-70.364508,"street_address","small","#4f4","alcohol-shop"
"1173",NA,"FREEPORT TRADING CO","1173","Yes","9 MAIN STREET","FREEPORT","ME","865-4669","FREEPORT TRADING CO","9 MAIN STREET","FREEPORT","CUMBERLAND","1173","M-V","03/18/2015","OFF",43.854326,-70.1081793,"street_address","small","#4f4","alcohol-shop"
"1177",NA,"KETTLE COVE MARINA, INC.","1177","Yes","60 MARINA ROAD","SOUTH CASCO","ME","655-4775","KETTLE COVE MARINA, INC.","60 MARINA ROAD","SOUTH CASCO","CUMBERLAND","1177","M-V","05/11/2015","OFF",43.923619,-70.540224,"street_address","small","#4f4","alcohol-shop"
"1179",NA,"MRS B'S VILLAGE STORE","1179","Yes","120 MAIN STREET","PERU","ME","207-562-7800","MRS B'S VILLAGE STORE","120 MAIN STREET","PERU","OXFORD","1179","M-V","01/10/2015","OFF",44.5196442,-70.4701527,"street_address","small","#4f4","alcohol-shop"
"1181",NA,"DOUGHTY'S ISLAND MARKET","1181","Yes","237 SOUTH ROAD","CHEBEAGUE ISLAND","ME","846-9997","DOUGHTY'S ISLAND MARKET","237 SOUTH ROAD","CHEBEAGUE ISLAND","CUMBERLAND","1181","M-V","12/31/2014","OFF",43.7407786,-70.107586,"street_address","small","#4f4","alcohol-shop"
"1183",NA,"HANNAFORD #8225","1183","Yes","299 ELM STREET","BIDDEFORD","ME","207-284-8677","HANNAFORD #8225","299 ELM STREET","BIDDEFORD","YORK","1183","V-M","11/22/2015","OFF",43.4884507,-70.4658032,"street_address","small","#4f4","alcohol-shop"
"1185",NA,"ALFRED COUNTRY STORE","1185","Yes","3 SACO ROAD","ALFRED","ME","324-7719","ALFRED COUNTRY STORE","3 SACO ROAD","ALFRED","YORK","1185","V-M","07/08/2015","OFF",43.4764964,-70.7169368,"street_address","small","#4f4","alcohol-shop"
"1193",NA,"OLD ORCHARD BEACH CAMPGROUND","1193","Yes","27 OCEAN PARK ROAD","OLD ORCHARD BEACH","ME","207-934-4477","OLD ORCHARD BEACH CAMPGROUND","27 OCEAN PARK ROAD","OLD ORCHARD BEACH","YORK","1193","M-V","04/29/2015","OFF",43.5060519,-70.413878,"street_address","small","#4f4","alcohol-shop"
"1196",NA,"COLONIAL PHARMACY","1196","Yes","40 DOCK SQUARE","KENNEBUNKPORT","ME","967-4442","COLONIAL PHARMACY","40 DOCK SQUARE","KENNEBUNKPORT","YORK","1196","V","12/31/2014","OFF",43.3613456,-70.477775,"street_address","small","#4f4","alcohol-shop"
"1198",NA,"WILLIAM H. JORDAN FARM, LLC","1198","Yes","21 WELLS ROAD","CAPE ELIZABETH","ME","207-671-5341","WILLIAM H. JORDAN FARM, LLC","21 WELLS ROAD","CAPE ELIZABETH","CUMBERLAND","1198","V-M","06/12/2015","OFF",43.5958298,-70.2502829,"street_address","small","#4f4","alcohol-shop"
"1199",NA,"BREAU'S TOO","1199","Yes","12 SOUTH MAIN STREET","WOODSTOCK","ME","665-2933","BREAU'S TOO","12 SOUTH MAIN STREET","WOODSTOCK","OXFORD","1199","M-V","09/25/2015","OFF",44.378404,-70.644675,"street_address","small","#4f4","alcohol-shop"
"120",NA,"WESTON'S FARM, LLC","120","Yes","48 RIVER STREET","FRYEBURG","ME","207-935-2567","WESTON'S FARM, LLC","48 RIVER STREET","FRYEBURG","OXFORD","120","V","04/25/2015","OFF",44.0162348,-70.9875483,"street_address","small","#4f4","alcohol-shop"
"1200",NA,"RAY'S MARKET","1200","Yes","110 WEST STREET","BIDDEFORD","ME","284-7664","RAY'S MARKET","110 WEST STREET","BIDDEFORD","YORK","1200","V-M","09/24/2015","OFF",43.4741446,-70.4591267,"street_address","small","#4f4","alcohol-shop"
"1201",NA,"WALGREENS #12400","1201","Yes","868 MAIN STREET","SANFORD","ME","207-490-4008","WALGREENS #12400","868 MAIN STREET","SANFORD","YORK","1201","V-M","04/04/2015","OFF",43.4412427,-70.7781781,"street_address","small","#4f4","alcohol-shop"
"1204",NA,"PLAZA 29 CONVENIENCE","1204","Yes","29 WESTERN AVENUE #1","SOUTH PORTLAND","ME","773-6718","PLAZA 29 CONVENIENCE","29 WESTERN AVENUE #1","SOUTH PORTLAND","CUMBERLAND","1204","M-V","01/30/2015","OFF",43.6341638,-70.3161424,"subpremise","small","#4f4","alcohol-shop"
"1205",NA,"LIL  MART FRYEBURG","1205","Yes","501 MAIN STREET","FRYEBURG","ME","207-935-4190","LIL  MART FRYEBURG","501 MAIN STREET","FRYEBURG","OXFORD","1205","V-M","12/10/2015","OFF",44.0147378,-70.9832357,"street_address","small","#4f4","alcohol-shop"
"1208",NA,"DEPOT, THE","1208","Yes","146 PLEASANT STREET","SPRINGVALE","ME","324-5755","DEPOT, THE","146 PLEASANT STREET","SPRINGVALE","YORK","1208","V-M","07/11/2015","OFF",43.4633237,-70.7868623,"street_address","small","#4f4","alcohol-shop"
"1210",NA,"GRAY SHOP 'N SAVE","1210","Yes","35 PORTLAND ROAD","GRAY","ME","657-3346","GRAY SHOP 'N SAVE","35 PORTLAND ROAD","GRAY","CUMBERLAND","1210","M-V","06/20/2015","OFF",43.8803094,-70.329065,"street_address","small","#4f4","alcohol-shop"
"1222",NA,"NORTHGATE MOBIL","1222","Yes","1397 WASHINGTON AVENUE","PORTLAND","ME","797-4077","NORTHGATE MOBIL","1397 WASHINGTON AVENUE","PORTLAND","CUMBERLAND","1222","M-V","09/06/2015","OFF",43.700192,-70.288093,"street_address","small","#4f4","alcohol-shop"
"1223",NA,"LONG SANDS GENERAL STORE","1223","Yes","121 LONG BEACH AVENUE","YORK BEACH","ME","363-5383","LONG SANDS GENERAL STORE","121 LONG BEACH AVENUE","YORK BEACH","YORK","1223","M-V","04/28/2015","OFF",43.1665032,-70.6156443,"street_address","small","#4f4","alcohol-shop"
"1226",NA,"AMATO'S","1226","Yes","469 MAIN STREET","SACO","ME","286-2377","AMATO'S","469 MAIN STREET","SACO","YORK","1226","M-V","12/31/2014","OFF",43.506119,-70.4370736,"street_address","small","#4f4","alcohol-shop"
"123",NA,"GRAY SUNOCO","123","Yes","7 WEST GRAY ROAD","GRAY","ME","207-657-3113","GRAY SUNOCO","7 WEST GRAY ROAD","GRAY","CUMBERLAND","123","M-V","08/13/2015","OFF",43.884043,-70.332452,"street_address","small","#4f4","alcohol-shop"
"1232",NA,"DOCKSIDE PROVISIONS","1232","Yes","215 FORESIDE ROAD","FALMOUTH","ME","207-781-5110","DOCKSIDE PROVISIONS","215 FORESIDE ROAD","FALMOUTH","CUMBERLAND","1232","M-V","05/28/2015","OFF",43.729123,-70.210067,"street_address","small","#4f4","alcohol-shop"
"1239",NA,"WILLYS MARKET","1239","Yes","1060 ROUTE 109","ACTON","ME","207-636-3369","WILLYS MARKET","1060 ROUTE 109","ACTON","YORK","1239","V-M","05/13/2015","OFF",43.5233715,-70.8870852,"street_address","small","#4f4","alcohol-shop"
"1242",NA,"EXPRESS MART CUMBERLAND","1242","Yes","174 MAIN STREET","CUMBERLAND","ME","207-829-4431","EXPRESS MART CUMBERLAND","174 MAIN STREET","CUMBERLAND","CUMBERLAND","1242","M-V","04/30/2015","OFF",43.781235,-70.257532,"street_address","small","#4f4","alcohol-shop"
"1244",NA,"RED ROCKET SMOKE SHOP","1244","Yes","80 BIRCH STREET","BIDDEFORD","ME","409-8444","RED ROCKET SMOKE SHOP","80 BIRCH STREET","BIDDEFORD","YORK","1244","V-M","04/16/2015","OFF",43.4881914,-70.455331,"street_address","small","#4f4","alcohol-shop"
"1245",NA,"CUMBERLAND FARMS #5620","1245","Yes","162 PLEASANT STREET","BRUNSWICK","ME","207-721-0384","CUMBERLAND FARMS #5620","162 PLEASANT STREET","BRUNSWICK","CUMBERLAND","1245","V-M","12/14/2015","OFF",43.912795,-69.988088,"street_address","small","#4f4","alcohol-shop"
"1246",NA,"LINK'S VARIETY","1246","Yes","1046 LEWISTON ROAD","NEW GLOUCESTER","ME","207-926-3300","LINK'S VARIETY","1046 LEWISTON ROAD","NEW GLOUCESTER","CUMBERLAND","1246","V-M","08/13/2015","OFF",43.9927709,-70.2925313,"street_address","small","#4f4","alcohol-shop"
"1248",NA,"MOBY DICK VARIETY","1248","Yes","74 EAST GRAND AVENUE","OLD ORCHARD BEACH","ME","934-5420","MOBY DICK VARIETY","74 EAST GRAND AVENUE","OLD ORCHARD BEACH","YORK","1248","V-M","10/27/2015","OFF",43.5208938,-70.370385,"street_address","small","#4f4","alcohol-shop"
"1250",NA,"HAMPTON INN PORTLAND DOWNTOWN WATERFRONT","1250","Yes","209 FORE STREET","PORTLAND","ME","561-802-4477","HAMPTON INN PORTLAND DOWNTOWN
WATERFRONT","209 FORE STREET","PORTLAND","CUMBERLAND","1250","M-V","04/21/2015","OFF",43.6592503,-70.2506403,"street_address","small","#4f4","alcohol-shop"
"1252",NA,"CLAM SHELL CAFE & TAKEOUT","1252","Yes","23 MAIN AVENUE","SACO","ME","282-7977","CLAM SHELL CAFE & TAKEOUT","23 MAIN AVENUE","SACO","YORK","1252","M-V","04/30/2015","OFF",43.4655182,-70.3834427,"street_address","small","#4f4","alcohol-shop"
"1257",NA,"HANNAFORD FOOD & DRUG #8354","1257","Yes","787 RIVERSIDE STREET","PORTLAND","ME","878-0191","HANNAFORD FOOD & DRUG #8354","787 RIVERSIDE STREET","PORTLAND","CUMBERLAND","1257","V-M","05/11/2015","OFF",43.701784,-70.319477,"street_address","small","#4f4","alcohol-shop"
