"license","Licensee Information","Business Name:","License Number:","In Business:","Location Address:","City/Town:","State:","Telephone Number:","Trade Name","Address","Town","County","License #","Permissions","Expiration Date","On or Off","latitude","longitude","accuracy","marker-size","marker-color","marker-symbol"
"1183",NA,"HANNAFORD #8225","1183","Yes","299 ELM STREET","BIDDEFORD","ME","207-284-8677","HANNAFORD #8225","299 ELM STREET","BIDDEFORD","YORK","1183","V-M","11/22/2015","OFF",43.6544619,43.6544619,"street_address","small","#4f4","restaurant"
"1185",NA,"ALFRED COUNTRY STORE","1185","Yes","3 SACO ROAD","ALFRED","ME","324-7719","ALFRED COUNTRY STORE","3 SACO ROAD","ALFRED","YORK","1185","V-M","07/08/2015","OFF",43.862496,43.862496,"street_address","small","#4f4","restaurant"
"1193",NA,"OLD ORCHARD BEACH CAMPGROUND","1193","Yes","27 OCEAN PARK ROAD","OLD ORCHARD BEACH","ME","207-934-4477","OLD ORCHARD BEACH CAMPGROUND","27 OCEAN PARK ROAD","OLD ORCHARD BEACH","YORK","1193","M-V","04/29/2015","OFF",43.656642,43.656642,"street_address","small","#4f4","restaurant"
"1196",NA,"COLONIAL PHARMACY","1196","Yes","40 DOCK SQUARE","KENNEBUNKPORT","ME","967-4442","COLONIAL PHARMACY","40 DOCK SQUARE","KENNEBUNKPORT","YORK","1196","V","12/31/2014","OFF",43.7457061,43.7457061,"street_address","small","#4f4","restaurant"
"120",NA,"WESTON'S FARM, LLC","120","Yes","48 RIVER STREET","FRYEBURG","ME","207-935-2567","WESTON'S FARM, LLC","48 RIVER STREET","FRYEBURG","OXFORD","120","V","04/25/2015","OFF",43.6753566,43.6753566,"street_address","small","#4f4","restaurant"
"1200",NA,"RAY'S MARKET","1200","Yes","110 WEST STREET","BIDDEFORD","ME","284-7664","RAY'S MARKET","110 WEST STREET","BIDDEFORD","YORK","1200","V-M","09/24/2015","OFF",43.661471,43.661471,"locality","small","#4f4","restaurant"
"1201",NA,"WALGREENS #12400","1201","Yes","868 MAIN STREET","SANFORD","ME","207-490-4008","WALGREENS #12400","868 MAIN STREET","SANFORD","YORK","1201","V-M","04/04/2015","OFF",43.6542716,43.6542716,"street_address","small","#4f4","restaurant"
"1205",NA,"LIL  MART FRYEBURG","1205","Yes","501 MAIN STREET","FRYEBURG","ME","207-935-4190","LIL  MART FRYEBURG","501 MAIN STREET","FRYEBURG","OXFORD","1205","V-M","12/10/2015","OFF",43.6574813,43.6574813,"street_address","small","#4f4","restaurant"
"1208",NA,"DEPOT, THE","1208","Yes","146 PLEASANT STREET","SPRINGVALE","ME","324-5755","DEPOT, THE","146 PLEASANT STREET","SPRINGVALE","YORK","1208","V-M","07/11/2015","OFF",43.6197142,43.6197142,"street_address","small","#4f4","restaurant"
"1222",NA,"NORTHGATE MOBIL","1222","Yes","1397 WASHINGTON AVENUE","PORTLAND","ME","797-4077","NORTHGATE MOBIL","1397 WASHINGTON AVENUE","PORTLAND","CUMBERLAND","1222","M-V","09/06/2015","OFF",43.651727,43.651727,"street_address","small","#4f4","restaurant"
"1223",NA,"LONG SANDS GENERAL STORE","1223","Yes","121 LONG BEACH AVENUE","YORK BEACH","ME","363-5383","LONG SANDS GENERAL STORE","121 LONG BEACH AVENUE","YORK BEACH","YORK","1223","M-V","04/28/2015","OFF",43.6332522,43.6332522,"street_address","small","#4f4","restaurant"
"1226",NA,"AMATO'S","1226","Yes","469 MAIN STREET","SACO","ME","286-2377","AMATO'S","469 MAIN STREET","SACO","YORK","1226","M-V","12/31/2014","OFF",43.8570065,43.8570065,"locality","small","#4f4","restaurant"
"1239",NA,"WILLYS MARKET","1239","Yes","1060 ROUTE 109","ACTON","ME","207-636-3369","WILLYS MARKET","1060 ROUTE 109","ACTON","YORK","1239","V-M","05/13/2015","OFF",43.685662,43.685662,"street_address","small","#4f4","restaurant"
"1244",NA,"RED ROCKET SMOKE SHOP","1244","Yes","80 BIRCH STREET","BIDDEFORD","ME","409-8444","RED ROCKET SMOKE SHOP","80 BIRCH STREET","BIDDEFORD","YORK","1244","V-M","04/16/2015","OFF",43.7366927,43.7366927,"natural_feature","small","#4f4","restaurant"
"1248",NA,"MOBY DICK VARIETY","1248","Yes","74 EAST GRAND AVENUE","OLD ORCHARD BEACH","ME","934-5420","MOBY DICK VARIETY","74 EAST GRAND AVENUE","OLD ORCHARD BEACH","YORK","1248","V-M","10/27/2015","OFF",43.6853956,43.6853956,"street_address","small","#4f4","restaurant"
"1250",NA,"HAMPTON INN PORTLAND DOWNTOWN WATERFRONT","1250","Yes","209 FORE STREET","PORTLAND","ME","561-802-4477","HAMPTON INN PORTLAND DOWNTOWN
WATERFRONT","209 FORE STREET","PORTLAND","CUMBERLAND","1250","M-V","04/21/2015","OFF",43.677577,43.677577,"street_address","small","#4f4","restaurant"
"1252",NA,"CLAM SHELL CAFE & TAKEOUT","1252","Yes","23 MAIN AVENUE","SACO","ME","282-7977","CLAM SHELL CAFE & TAKEOUT","23 MAIN AVENUE","SACO","YORK","1252","M-V","04/30/2015","OFF",43.6603283,43.6603283,"street_address","small","#4f4","restaurant"
"1257",NA,"HANNAFORD FOOD & DRUG #8354","1257","Yes","787 RIVERSIDE STREET","PORTLAND","ME","878-0191","HANNAFORD FOOD & DRUG #8354","787 RIVERSIDE STREET","PORTLAND","CUMBERLAND","1257","V-M","05/11/2015","OFF",43.6369871,43.6369871,"premise","small","#4f4","restaurant"
"1274",NA,"WHOLE FOODS MARKET","1274","Yes","2 SOMERSET STREET","PORTLAND","ME","207-774-7711","WHOLE FOODS MARKET","2 SOMERSET STREET","PORTLAND","CUMBERLAND","1274","M-V","02/13/2015","OFF",43.7274383,43.7274383,"street_address","small","#4f4","restaurant"
"1276",NA,"MOBIL ON THE RUN FRYEBURG","1276","Yes","496 MAIN STREET","FRYEBURG","ME","207-935-1228","MOBIL ON THE RUN FRYEBURG","496 MAIN STREET","FRYEBURG","OXFORD","1276","V-M","02/28/2015","OFF",43.6542768,43.6542768,"street_address","small","#4f4","restaurant"
"1280",NA,"EAST SIDE CONVENIENCE","1280","Yes","88 HIGH STREET","SANFORD","ME","207-651-1542","EAST SIDE CONVENIENCE","88 HIGH STREET","SANFORD","YORK","1280","V-M","06/18/2015","OFF",43.908476,43.908476,"street_address","small","#4f4","restaurant"
"1286",NA,"CRAFT BEER CELLAR, PORTLAND","1286","Yes","111 COMMERCIAL STREET","PORTLAND","ME","774-286-1046","CRAFT BEER CELLAR, PORTLAND","111 COMMERCIAL STREET","PORTLAND","CUMBERLAND","1286","M-V","08/27/2015","OFF",43.6551683,43.6551683,"street_address","small","#4f4","restaurant"
"1292",NA,"PIZZA JOINT, INC.","1292","Yes","448 FOREST AVENUE","PORTLAND","ME","797-3192","PIZZA JOINT, INC.","448 FOREST AVENUE","PORTLAND","CUMBERLAND","1292","M","03/28/2015","OFF",43.715031,43.715031,"street_address","small","#4f4","restaurant"
"1312",NA,"MELLEN STREET MARKET","1312","Yes","79 MELLEN STREET","PORTLAND","ME","772-2206","MELLEN STREET MARKET","79 MELLEN STREET","PORTLAND","CUMBERLAND","1312","V-M","02/06/2015","OFF",43.5698792,43.5698792,"subpremise","small","#4f4","restaurant"
"1320",NA,"CARL'S MEAT MARKET, LLC","1320","Yes","25 STATE ROAD","KITTERY","ME","439-1557","CARL'S MEAT MARKET, LLC","25 STATE ROAD","KITTERY","YORK","1320","M","06/06/2015","OFF",43.9088384,43.9088384,"street_address","small","#4f4","restaurant"
"1323",NA,"H.B. PROVISIONS","1323","Yes","15 WESTERN AVENUE","KENNEBUNK","ME","967-5762","H.B. PROVISIONS","15 WESTERN AVENUE","KENNEBUNK","YORK","1323","M-V","05/16/2015","OFF",43.879815,43.879815,"street_address","small","#4f4","restaurant"
"1324",NA,"GOOD BEER STORE, THE","1324","Yes","285 MAIN STREET    SUITE 6","FRYEBURG","ME","935-1162","GOOD BEER STORE, THE","285 MAIN STREET	 SUITE 6","FRYEBURG","OXFORD","1324","M-V","03/09/2015","OFF",43.6796708,43.6796708,"street_address","small","#4f4","restaurant"
"1336",NA,"7-ELEVEN #32530B","1336","Yes","169 STATE ROAD, ROUTE 1 KITTERY CIRCLE","KITTERY","ME","972-828-7536","7-ELEVEN #32530B","169 STATE ROAD, ROUTE 1 KITTERY CIRCLE","KITTERY","YORK","1336","V-M","07/11/2015","OFF",43.891796,43.891796,"street_address","small","#4f4","restaurant"
"1343",NA,"CAPT'N HOOKS SEAFOOD & TAKEOUT","1343","Yes","2118 POST ROAD","WELLS","ME","646-6646","CAPT'N HOOKS SEAFOOD & TAKEOUT","2118 POST ROAD","WELLS","YORK","1343","M-V","04/29/2015","OFF",43.653186,43.653186,"street_address","small","#4f4","restaurant"
"1344",NA,"LEROUX KITCHEN","1344","Yes","161 COMMERCIAL STREET","PORTLAND","ME","553-7665","LEROUX KITCHEN","161 COMMERCIAL STREET","PORTLAND","CUMBERLAND","1344","M-V","09/18/2015","OFF",43.7407786,43.7407786,"street_address","small","#4f4","restaurant"
"1347",NA,"OLD PORT SPIRITS AND CIGARS","1347","Yes","79 COMMERCIAL STREET","PORTLAND","ME","207-772-9463","OLD PORT SPIRITS AND CIGARS","79 COMMERCIAL STREET","PORTLAND","CUMBERLAND","1347","M-V","05/18/2015","OFF",43.6739552,43.6739552,"street_address","small","#4f4","restaurant"
"1350",NA,"BEA'S MARKETPLACE, LLC","1350","Yes","14 PORTLAND STREET","FRYEBURG","ME","207-935-3135","BEA'S MARKETPLACE, LLC","14 PORTLAND STREET","FRYEBURG","OXFORD","1350","M-V","06/20/2015","OFF",43.8412327,43.8412327,"street_address","small","#4f4","restaurant"
"1376",NA,"LEBANON HOUSE OF PIZZA","1376","Yes","413 CARL BROGGI HWY","LEBANON","ME","457-1010","LEBANON HOUSE OF PIZZA","413 CARL BROGGI HWY","LEBANON","YORK","1376","M","04/24/2015","OFF",43.6966729,43.6966729,"street_address","small","#4f4","restaurant"
"1381",NA,"CIRCLE K #7049","1381","Yes","454 US ROUTE 1","YORK","ME","207-363-9863","CIRCLE K #7049","454 US ROUTE 1","YORK","YORK","1381","M-V","07/15/2015","OFF",43.7590538,43.7590538,"route","small","#4f4","restaurant"
"1390",NA,"SACO BAY VARIETY","1390","Yes","216 BEACH STREET","SACO","ME","282-4400","SACO BAY VARIETY","216 BEACH STREET","SACO","YORK","1390","M-V","01/24/2015","OFF",43.6602159,43.6602159,"street_address","small","#4f4","restaurant"
"1396",NA,"GIBBS OIL CO., L.P.","1396","Yes","US ROUTE ONE","OGUNQUIT","ME","207-646-8490","GIBBS OIL CO., L.P.","US ROUTE ONE","OGUNQUIT","YORK","1396","V-M","04/12/2015","OFF",43.6582022,43.6582022,"street_address","small","#4f4","restaurant"
"1399",NA,"VILLAGE FOOD MARKET, INC.","1399","Yes","230  MAIN STREET","OGUNQUIT","ME","646-2122","VILLAGE FOOD MARKET, INC.","230  MAIN STREET","OGUNQUIT","YORK","1399","M-V","03/29/2015","OFF",43.6776625,43.6776625,"street_address","small","#4f4","restaurant"
"14-5004",NA,"STELLA'S SWEET CAFE","14-5004","Yes","1 GOVERNMENT ST #3","KITTERY","ME","703-2990","STELLA'S SWEET CAFE","1 GOVERNMENT ST #3","KITTERY","YORK","14-5004","M-V","05/12/2015","ON",43.9096868,43.9096868,"street_address","small","#f44","restaurant"
"14-5008",NA,"SO ZAP","14-5008","Yes","185 MAIN STREET","OGUNQUIT","ME","c","SO ZAP","185 MAIN STREET","OGUNQUIT","YORK","14-5008","S-V-M","05/07/2015","ON",43.593428,43.593428,"street_address","small","#f44","restaurant"
"14-5012",NA,"HOBBS HARBORSIDE","14-5012","Yes","352 HARBOR ROAD","WELLS","ME","251-2444","HOBBS HARBORSIDE","352 HARBOR ROAD","WELLS","YORK","14-5012","S-V-M","06/30/2015","ON",43.916443,43.916443,"street_address","small","#f44","restaurant"
"14-5016",NA,"LOS BANDITOS","14-5016","Yes","9 RENNAISANCE WAY","SOUTH SANFORD","ME","751-0251","LOS BANDITOS","9 RENNAISANCE WAY","SOUTH SANFORD","YORK","14-5016","S-V-M","06/09/2015","ON",43.6526948,43.6526948,"street_address","small","#f44","restaurant"
"14-5017",NA,"KING'S HEAD, THE","14-5017","Yes","254 COMMERCIAL STREET","PORTLAND","ME","518-637-8784","KING'S HEAD, THE","254 COMMERCIAL STREET","PORTLAND","CUMBERLAND","14-5017","S-V-M","06/03/2015","ON",43.654318,43.654318,"street_address","small","#f44","restaurant"
"14-5031",NA,"LAS OLAS TAQUERIA","14-5031","Yes","1517 POST ROAD","WELLS","ME","603-231-7057","LAS OLAS TAQUERIA","1517 POST ROAD","WELLS","YORK","14-5031","S-V-M","06/30/2015","ON",43.814768,43.814768,"street_address","small","#f44","restaurant"
"14-5034",NA,"BUFFLEHEADS RESTAURANT","14-5034","Yes","122 HILLS BEACH ROAD","BIDDEFORD","ME","284-6000","BUFFLEHEADS RESTAURANT","122 HILLS BEACH ROAD","BIDDEFORD","YORK","14-5034","M-V","06/12/2015","ON",43.797046,43.797046,"street_address","small","#f44","restaurant"
"14-5036",NA,"MUSE PAINTBAR","14-5036","Yes","245 COMMERCIAL STREET","PORTLAND","ME","617-775-2958","MUSE PAINTBAR","245 COMMERCIAL STREET","PORTLAND","CUMBERLAND","14-5036","V-M","05/27/2015","ON",43.9067518,43.9067518,"street_address","small","#f44","restaurant"
"14-5042",NA,"ELEVATION BURGER","14-5042","Yes","205 COMMERCIAL STREET","PORTLAND","ME","775-6800","ELEVATION BURGER","205 COMMERCIAL STREET","PORTLAND","CUMBERLAND","14-5042","M","07/21/2015","ON",43.8413899,43.8413899,"street_address","small","#f44","restaurant"
"14-5044",NA,"RED SEA RESTAURANT","14-5044","Yes","30 WASHINGTON AVENUE","PORTLAND","ME","939-7886","RED SEA RESTAURANT","30 WASHINGTON AVENUE","PORTLAND","CUMBERLAND","14-5044","M-V","08/03/2015","ON",43.657067,43.657067,"street_address","small","#f44","restaurant"
"14-5045",NA,"MISTO !","14-5045","Yes","436 US ROUTE ONE","KITTERY","ME","703-0606","MISTO !","436 US ROUTE ONE","KITTERY","YORK","14-5045","S-V-M","07/17/2015","ON",43.6828635,43.6828635,"street_address","small","#f44","restaurant"
"14-5046",NA,"MAPS CAFE","14-5046","Yes","64A MARKET STREET","PORTLAND","ME","347-9338","MAPS CAFE","64A MARKET STREET","PORTLAND","CUMBERLAND","14-5046","M-V","06/25/2015","ON",43.8006208,43.8006208,"locality","small","#f44","restaurant"
"14-5053",NA,"GOLDEN LOTUS","14-5053","Yes","511 CONGRESS STREET","PORTLAND","ME","603-531-3904","GOLDEN LOTUS","511 CONGRESS STREET","PORTLAND","CUMBERLAND","14-5053","S-V-M","09/03/2015","ON",43.7987102,43.7987102,"street_address","small","#f44","restaurant"
"14-5059",NA,"CAJUN LOBSTER, THE","14-5059","Yes","90 PEPPERELL ROAD","KITTERY POINT","ME","703-2397","CAJUN LOBSTER, THE","90 PEPPERELL ROAD","KITTERY POINT","YORK","14-5059","S-V-M","08/11/2015","ON",43.676827,43.676827,"street_address","small","#f44","restaurant"
"14-5061",NA,"TOPPINGS","14-5061","Yes","8 YORK STREET","KENNEBUNK","ME","985-5575","TOPPINGS","8 YORK STREET","KENNEBUNK","YORK","14-5061","M-V","09/08/2015","ON",43.9439718,43.9439718,"street_address","small","#f44","restaurant"
"14-5062",NA,"BEACHWOOD, THE","14-5062","Yes","29 WEST GRAND AVENUE","OLD ORCHARD BEACH","ME","934-2291","BEACHWOOD, THE","29 WEST GRAND AVENUE","OLD ORCHARD BEACH","YORK","14-5062","S-V-M","08/10/2015","ON",43.6556195,43.6556195,"street_address","small","#f44","restaurant"
"1416",NA,"CIRCLE K #7036","1416","Yes","1045 POST ROAD","WELLS","ME","207-646-7115","CIRCLE K #7036","1045 POST ROAD","WELLS","YORK","1416","V-M","07/15/2015","OFF",43.647279,43.647279,"street_address","small","#4f4","restaurant"
"1421",NA,"COUNTRY GOODS & GROCERIES","1421","Yes","566 NEWFIELD ROAD","SHAPLEIGH","ME","793-2945","COUNTRY GOODS & GROCERIES","566 NEWFIELD ROAD","SHAPLEIGH","YORK","1421","V-M","11/24/2015","OFF",43.654203,43.654203,"street_address","small","#4f4","restaurant"
"1424",NA,"MAINE BEER & BEVERAGE CO.","1424","Yes","28 MONUMENT SQUARE","PORTLAND","ME","207-228-2024","MAINE BEER & BEVERAGE CO.","28 MONUMENT SQUARE","PORTLAND","CUMBERLAND","1424","V-M","07/11/2015","OFF",43.7229269,43.7229269,"street_address","small","#4f4","restaurant"
"1425",NA,"QUALITY SHOP","1425","Yes","473 STEVENS AVENUE","PORTLAND","ME","774-6434","QUALITY SHOP","473 STEVENS AVENUE","PORTLAND","CUMBERLAND","1425","V-M","12/31/2014","OFF",43.655668,43.655668,"street_address","small","#4f4","restaurant"
"1435",NA,"SHAW'S #7558/491","1435","Yes","510 ALFRED STREET","BIDDEFORD","ME","207-283-8616","SHAW'S #7558/491","510 ALFRED STREET","BIDDEFORD","YORK","1435","M-V","04/07/2015","OFF",43.8501292,43.8501292,"street_address","small","#4f4","restaurant"
"1438",NA,"MARKET DAY, LTD.","1438","Yes","135 PORT ROAD","KENNEBUNK","ME","967-5577","MARKET DAY, LTD.","135 PORT ROAD","KENNEBUNK","YORK","1438","M-V","06/17/2015","OFF",43.656128,43.656128,"street_address","small","#4f4","restaurant"
"144",NA,"LOG CABIN QUICK SHOP","144","Yes","96 OCEAN PARK ROAD","SACO","ME","602-1989","LOG CABIN QUICK SHOP","96 OCEAN PARK ROAD","SACO","YORK","144","M-V","03/22/2015","OFF",43.8581131,43.8581131,"street_address","small","#4f4","restaurant"
"1440",NA,"7-ELEVEN #32531B","1440","Yes","704 CONGRESS STREET","PORTLAND","ME","207-871-1483","7-ELEVEN #32531B","704 CONGRESS STREET","PORTLAND","CUMBERLAND","1440","V-M","08/25/2015","OFF",43.6341638,43.6341638,"subpremise","small","#4f4","restaurant"
"1448",NA,"CALL'S SHOP'N SAVE","1448","Yes","200 MAPLE STREET   UNIT 3","CORNISH","ME","207-625-3900","CALL'S SHOP'N SAVE","200 MAPLE STREET	 UNIT 3","CORNISH","YORK","1448","V-M","11/01/2015","OFF",43.651395,43.651395,"street_address","small","#4f4","restaurant"
"1456",NA,"RITE AID #4979","1456","Yes","1036 POST ROAD","WELLS","ME","717-214-8543","RITE AID #4979","1036 POST ROAD","WELLS","YORK","1456","V-M","10/07/2015","OFF",43.6850819,43.6850819,"street_address","small","#4f4","restaurant"
"1518",NA,"FIRKINSNOCK VARIETY","1518","Yes","4 GOODWINS MILLS ROAD","LYMAN","ME","207-499-7119","FIRKINSNOCK VARIETY","4 GOODWINS MILLS ROAD","LYMAN","YORK","1518","M-V","09/19/2015","OFF",43.6227024,43.6227024,"street_address","small","#4f4","restaurant"
"1520",NA,"LAKESIDE MARKET","1520","Yes","411 SOKOKIS TRAIL","EAST WATERBORO","ME","247-8440","LAKESIDE MARKET","411 SOKOKIS TRAIL","EAST WATERBORO","YORK","1520","M-V","08/05/2015","OFF",43.6553,43.6553,"street_address","small","#4f4","restaurant"
"1521",NA,"POWDER HORN COUNTRY STORE","1521","Yes","48 CASCADE ROAD","OLD ORCHARD BEACH","ME","207-934-8500","POWDER HORN COUNTRY STORE","48 CASCADE ROAD","OLD ORCHARD BEACH","YORK","1521","V-M","05/19/2015","OFF",43.6533299,43.6533299,"street_address","small","#4f4","restaurant"
